ActivityName,FollowUpQuestion,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8
Sit,Were you sleeping?,Awake,Asleep
Stand (mostly still)
Lie down,Were you sleeping?,Awake,Asleep
Crouch
Walk,How intensely?,Light/slow,Moderate,Fast,With breaks
Jog/Run,How intensely?,Light/slow,Moderate,Fast,With breaks
Garden,How intensely?,Light,Moderate,Intense
Play basketball,How intensely?,Light,Moderate,Intense
Play soccer,How intensely?,Light,Moderate,Intense
Sleep,How deeply?,Sleep deeply,Sleep restlessly
Climb stairs,How intensely?,Light,Moderate,Intense
Descend stairs,How intensely?,Light,Moderate,Intense
Do jumping jacks,How intensely?,Light,Moderate,Intense
Use stairmaster,How intensely?,Light,Moderate,Intense
Work at desk
Drive car
Swim,How intensely?,Light,Moderate,Intense
Do aerobics,How intensely?,Light,Moderate,Intense
Weight Lift,How intensely?,Light,Moderate,Intense
Do yoga,How intensely?,Light,Moderate,Intense
Do pilates,How intensely?,Light,Moderate,Intense
Box,How intensely?,Light,Moderate,Intense
Play tennis,How intensely?,Light,Moderate,Intense
Do step aerobics,How intensely?,Light,Moderate,Intense
Kickbox,How intensely?,Light,Moderate,Intense
Do aqua aerobics,How intensely?,Light,Moderate,Intense
Dance,How intensely?,Light,Moderate,Intense
Do the eliptical,How intensely?,Light,Moderate,Intense
